ID,Palavra,Imagem,Audio
2f485cfb,Caju,,Palavras_Files_/2f485cfb.Audio.184438
c205f6cd,Canjica,Palavras_Images/c205f6cd.Imagem.202127.png,Palavras_Files_/c205f6cd.Audio.184505
abb09d28,Queijo,,Palavras_Files_/abb09d28.Audio.184540
5455fad9,Berinjela,Palavras_Images/5455fad9.Imagem.014700.png,Palavras_Files_/5455fad9.Audio.183252
ef52eeda,Gotejar,,Palavras_Files_/ef52eeda.Audio.205932
568c91d9,Arranjo,Palavras_Images/568c91d9.Imagem.001220.png,Palavras_Files_/568c91d9.Audio.063241
ac363f5b,Algemas,Palavras_Images/ac363f5b.Imagem.221535.png,Palavras_Files_/ac363f5b.Audio.063308
3063d04c,Massagem,Palavras_Images/3063d04c.Imagem.013051.png,Palavras_Files_/3063d04c.Audio.215630
10f08be0,Garagem,,Palavras_Files_/10f08be0.Audio.205955
96496f0f,Boneca,,Palavras_Files_/96496f0f.Audio.183314
3e90ed96,Vaca,Palavras_Images/3e90ed96.Imagem.232659.png,Palavras_Files_/3e90ed96.Audio.003654
da6463a0,Peteca,,Palavras_Files_/da6463a0.Audio.041523
e4c6651f,Taco,,Palavras_Files_/e4c6651f.Audio.002319
648c2872,Saco,Palavras_Images/648c2872.Imagem.021055.png,Palavras_Files_/648c2872.Audio.001505
82999713,Pipoca,,Palavras_Files_/82999713.Audio.041656
e598d7fa,Buraco,,Palavras_Files_/e598d7fa.Audio.183329
e24482c5,Maluco,,Palavras_Files_/e24482c5.Audio.215700
6ba62b78,Boca,,Palavras_Files_/6ba62b78.Audio.183352
61a1aecd,Casaco,,Palavras_Files_/61a1aecd.Audio.185558
422ef04d,Casca,Palavras_Images/422ef04d.Imagem.175809.png,Palavras_Files_/422ef04d.Audio.185618
b8f93c22,Damasco,,Palavras_Files_/b8f93c22.Audio.195232
5fd9b43d,Cinco,Palavras_Images/5fd9b43d.Imagem.021127.png,Palavras_Files_/5fd9b43d.Audio.001525
e8a94284,Troco,Palavras_Images/e8a94284.Imagem.014025.png,Palavras_Files_/e8a94284.Audio.002338
933cb422,Cheque,,Palavras_Files_/933cb422.Audio.005334
6f4f7d8f,Truque,,Palavras_Files_/6f4f7d8f.Audio.002354
58eaed01,Oca,Palavras_Images/58eaed01.Imagem.174000.png,Palavras_Files_/58eaed01.Audio.174000
b62e561e,Rico,,Palavras_Files_/b62e561e.Audio.224341
0a2554a8,Orca,Palavras_Images/0a2554a8.Imagem.025006.png,Palavras_Files_/0a2554a8.Audio.040123
aa1dac8f,Secar,,Palavras_Files_/aa1dac8f.Audio.001541
5fcd4aec,Arco,Palavras_Images/5fcd4aec.Imagem.182733.png,Palavras_Files_/5fcd4aec.Audio.063335
cc3e66c8,Rabisco,,Palavras_Files_/cc3e66c8.Audio.224355
c8d53154,Cadeira,,Palavras_Files_/c8d53154.Audio.185635
67402d48,Camelo,,Palavras_Files_/67402d48.Audio.185651
e2ef289d,Caneta,,Palavras_Files_/e2ef289d.Audio.185709
9b5bf191,Coelho,,Palavras_Files_/9b5bf191.Audio.185728
592878c8,Cobra,Palavras_Images/592878c8.Imagem.215801.png,Palavras_Files_/592878c8.Audio.185749
105f55ec,Coruja,,Palavras_Files_/105f55ec.Audio.185811
